rssi,anchor
-74,1007120007
-59,1007110069
-67,1007110081
-59,1007110067
-48,1007110070
-77,1007110072
-66,1007110066
-56,1007120021
-78,1007110069
-68,1007110080
-63,1007110067
-47,1007110070
-75,1007110065
-71,1007120007
-58,1007110069
-57,1007110067
-65,1007110079
-64,1007110086
-75,1007120008
-62,1007110066
-77,1007110084
-72,1007110087
-70,1007110081
-58,1007110067
-73,1007110065
-68,1007110074
-58,1007110069
-64,1007110064
-60,1007110067
-69,1007110085
-70,1007110079
-69,1007110076
-74,1007120005
-68,1007110073
-74,1007110065
-65,1007110066
-71,1007110082
-57,1007120021
-76,1007110064
-73,1007110083
